id,party,census_block,dem_partisan_score,state,census_tract,x,y
1013311103,Democrat,37125950702,98.7,37,37125950702,1097998.4598061629,-574554.1303139292
1080258972,Democrat,37067001100,66.0,37,37067001100,1017812.7963527836,-476966.4809301309
3409443743,Democrat,37025041303,96.7,37,37025041303,980291.5378225695,-557220.7722059492
595939836,Democrat,37025041303,97.2,37,37025041303,980291.5378225695,-557220.7722059492
3910167136,Democrat,37025041303,97.7,37,37025041303,980291.5378225695,-557220.7722059492
3253193933,Republican,37025041303,1.0,37,37025041303,980291.5378225695,-557220.7722059492
3951040852,Republican,37025041303,6.5,37,37025041303,980291.5378225695,-557220.7722059492
808349530,Republican,37025041303,25.3,37,37025041303,980291.5378225695,-557220.7722059492
1178473534,Republican,37139960400,0.3,37,37139960400,1376730.8021574435,-422952.55191119993
3133211923,Republican,37119005811,5.4,37,37119005811,980090.7442128577,-585622.4885852195
233154755,Democrat,37081015706,99.4,37,37081015706,1058780.3924486646,-466797.6920455825
2198918192,Democrat,37119005912,86.2,37,37119005912,962471.418153514,-583358.0620372863
517975100,Republican,37127010700,3.2,37,37127010700,1241242.3955787779,-461572.8071955922
3376497452,Democrat,37189920400,90.8,37,37189920400,887391.9663596938,-467745.2297303474
3837438039,Republican,37189920400,30.2,37,37189920400,887391.9663596938,-467745.2297303474
2883051854,Republican,37067002501,1.9,37,37067002501,1015885.7113076908,-476046.4743453178
228815629,Republican,37067002501,4.6,37,37067002501,1015885.7113076908,-476046.4743453178
1354909130,Republican,37067002501,7.3,37,37067002501,1015885.7113076908,-476046.4743453178
1363744620,Democrat,37087920700,80.9,37,37087920700,764451.1849117297,-553853.8979061947
1459621258,Democrat,37195001500,97.4,37,37195001500,1218425.3596603668,-502126.76293737616
2162342713,Republican,37195001500,27.0,37,37195001500,1218425.3596603668,-502126.76293737616
2150287550,Democrat,37097060901,64.4,37,37097060901,959266.9158342023,-489536.8249101594
2814136146,Democrat,37071033304,93.1,37,37071033304,944264.0182831241,-580471.8211239958
667986433,Republican,37025041601,0.4,37,37025041601,1000336.1044389787,-570545.2235065631
1139016779,Republican,37025041601,0.5,37,37025041601,1000336.1044389787,-570545.2235065631
804569623,Republican,37025041601,0.6,37,37025041601,1000336.1044389787,-570545.2235065631
1296886215,Democrat,37067002807,98.6,37,37067002807,1016015.4805938178,-461685.3142071512
1927293099,Republican,37067002807,1.0,37,37067002807,1016015.4805938178,-461685.3142071512
2028327599,Democrat,37063002018,92.8,37,37063002018,1133869.6004652414,-487003.1785203129
1373358630,Democrat,37063002018,95.5,37,37063002018,1133869.6004652414,-487003.1785203129
596281147,Democrat,37063002018,98.2,37,37063002018,1133869.6004652414,-487003.1785203129
33325465,Republican,37063002018,0.4,37,37063002018,1133869.6004652414,-487003.1785203129
2752801578,Republican,37103920300,16.9,37,37103920300,1275166.539601358,-568927.1138454964
1390940666,Democrat,37119005714,94.8,37,37119005714,991650.215218445,-580039.404350275
2096686921,Republican,37195000400,1.5,37,37195000400,1229150.6317295206,-502889.303847864
2143562308,Democrat,37081012704,98.0,37,37081012704,1062063.05574646,-471349.14785942744
983794353,Democrat,37081012704,98.1,37,37081012704,1062063.05574646,-471349.14785942744
265913189,Democrat,37081012704,98.9,37,37081012704,1062063.05574646,-471349.14785942744
2499585979,Republican,37081012704,0.5,37,37081012704,1062063.05574646,-471349.14785942744
1523598456,Republican,37119006007,35.7,37,37119006007,958493.3868146857,-566486.4051946303
3406922058,Democrat,37119006007,95.5,37,37119006007,958493.3868146857,-566486.4051946303
3127918958,Democrat,37119006007,96.35,37,37119006007,958493.3868146857,-566486.4051946303
211068395,Democrat,37119006007,97.2,37,37119006007,958493.3868146857,-566486.4051946303
3379725145,Republican,37089931000,7.4,37,37089931000,825256.9338953344,-571303.3824378813
3534550447,Republican,37089931000,16.700000000000003,37,37089931000,825256.9338953344,-571303.3824378813
3479967403,Republican,37089931000,26.0,37,37089931000,825256.9338953344,-571303.3824378813
3932464795,Republican,37077970603,11.3,37,37077970603,1157250.5327837495,-465194.2988459686
1349236010,Democrat,37025040500,94.0,37,37025040500,998164.2573304357,-559197.9666322924
